State,Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %
Colorado,2020,General,PUEBLO,3034751002,1834,148,1982,1540,77.70%
Colorado,2020,General,PUEBLO,3034751003,1539,108,1647,1300,78.93%
Colorado,2020,General,PUEBLO,3034751004,1213,66,1279,1076,84.13%
Colorado,2020,General,PUEBLO,3034751005,646,45,691,581,84.08%
Colorado,2020,General,PUEBLO,3034751006,577,134,711,482,67.79%
Colorado,2020,General,PUEBLO,3034751007,1053,64,1117,905,81.02%
Colorado,2020,General,PUEBLO,3034751008,1171,70,1241,1029,82.92%
Colorado,2020,General,PUEBLO,3034751009,718,50,768,586,76.30%
Colorado,2020,General,PUEBLO,3034751010,1358,305,1663,998,60.01%
Colorado,2020,General,PUEBLO,3034751011,978,89,1067,825,77.32%
Colorado,2020,General,PUEBLO,3034751015,1026,115,1141,809,70.90%
Colorado,2020,General,PUEBLO,3034751016,1005,139,1144,754,65.91%
Colorado,2020,General,PUEBLO,3034751017,1041,86,1127,883,78.35%
Colorado,2020,General,PUEBLO,3034751018,1650,196,1846,1286,69.66%
Colorado,2020,General,PUEBLO,3034751019,358,35,393,285,72.52%
Colorado,2020,General,PUEBLO,3034751022,655,81,736,469,63.72%
Colorado,2020,General,PUEBLO,3034751023,1065,108,1173,814,69.39%
Colorado,2020,General,PUEBLO,3034751024,887,89,976,761,77.97%
Colorado,2020,General,PUEBLO,3034751033,249,74,323,163,50.46%
Colorado,2020,General,PUEBLO,3034751034,785,150,935,522,55.83%
Colorado,2020,General,PUEBLO,3034751035,253,38,291,174,59.79%
Colorado,2020,General,PUEBLO,3034751113,790,63,853,584,68.46%
Colorado,2020,General,PUEBLO,3034751201,1613,144,1757,1424,81.05%
Colorado,2020,General,PUEBLO,3034751202,1265,120,1385,1101,79.49%
Colorado,2020,General,PUEBLO,3034751203,1426,166,1592,1230,77.26%
Colorado,2020,General,PUEBLO,3034751204,918,89,1007,792,78.65%
Colorado,2020,General,PUEBLO,3034751205,827,66,893,690,77.27%
Colorado,2020,General,PUEBLO,3034751206,1102,115,1217,889,73.05%
Colorado,2020,General,PUEBLO,3034751207,1126,91,1217,957,78.64%
Colorado,2020,General,PUEBLO,3034751208,1356,124,1480,1080,72.97%
Colorado,2020,General,PUEBLO,3036251012,1202,101,1303,943,72.37%
Colorado,2020,General,PUEBLO,3036251013,1058,151,1209,756,62.53%
Colorado,2020,General,PUEBLO,3036251014,897,117,1014,626,61.74%
Colorado,2020,General,PUEBLO,3036251025,761,180,941,494,52.50%
Colorado,2020,General,PUEBLO,3036251026,823,71,894,637,71.25%
Colorado,2020,General,PUEBLO,3036251027,790,91,881,548,62.20%
Colorado,2020,General,PUEBLO,3036251028,729,153,882,462,52.38%
Colorado,2020,General,PUEBLO,3036251029,578,63,641,386,60.22%
Colorado,2020,General,PUEBLO,3036251030,889,105,994,602,60.56%
Colorado,2020,General,PUEBLO,3036251031,1020,136,1156,658,56.92%
Colorado,2020,General,PUEBLO,3036251032,605,114,719,380,52.85%
Colorado,2020,General,PUEBLO,3036251045,173,35,208,125,60.10%
Colorado,2020,General,PUEBLO,3036251046,751,81,832,497,59.74%
Colorado,2020,General,PUEBLO,3036251047,566,90,656,376,57.32%
Colorado,2020,General,PUEBLO,3036251101,407,22,429,310,72.26%
Colorado,2020,General,PUEBLO,3036251102,718,29,747,598,80.05%
Colorado,2020,General,PUEBLO,3036251104,951,30,981,801,81.65%
Colorado,2020,General,PUEBLO,3354651301,1729,107,1836,1485,80.88%
